latitude,longitude,nwk
-0.064988,29.510771,13
-0.082397,40.094175,9
-0.091702,34.767957,2
-0.100689,41.908362,0
-0.167739,35.860619,0
-0.167739,35.860619,0
-0.2004,-75.771433,0
-0.357568,42.547725,1
-0.357568,42.547725,5
-0.357568,42.547725,0
-0.358056,42.545278,3
-0.358169,42.548747,44
-0.358427,42.548747,0
-0.358512,42.548919,1
-0.359285,42.544899,7
-0.360278,42.54778,0
-0.360278,42.54778,6
-0.360278,42.54778,0
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,16
-0.360278,42.548778,5
-0.360278,42.548778,1
-0.360278,42.548778,2
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,1
-0.360278,42.548778,1
-0.360278,42.548778,0
-0.360278,42.548778,7
-0.360278,42.548778,0
-0.360278,42.548778,5
-0.360278,42.548778,16
-0.360278,42.548778,0
-0.360278,42.548778,4
-0.360278,42.548778,0
-0.360278,42.548778,6
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,3
-0.360278,42.548778,1
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,2
-0.360278,42.548778,0
-0.360278,42.548778,0
-0.360278,42.548778,6
-0.360283,42.548778,4
-0.360315,42.545044,2
-0.360401,42.548404,1
-0.360488,42.548747,0
-0.360726,42.548103,2
-0.361259,42.548232,5
-0.374819,42.461409,0
-0.374819,42.461409,4
-0.389333,42.4475,0
-0.389333,42.4475,2
-0.433333,40.246111,2
-0.45198,39.64398,4
-0.45198,39.64398,6
-0.45301,39.644073,2
-0.453057,39.647587,0
-0.453229,39.646099,33
-0.453229,39.646099,4
-0.453229,39.646099,84
-0.453229,39.646099,2
-0.453229,39.646099,0
-0.453229,39.646099,8
-0.453229,39.646099,1
-0.453229,39.646099,2
-0.453229,39.646099,6
-0.453229,39.646099,4
-0.453229,39.646099,7
-0.453229,39.646099,0
-0.453229,39.646099,1
-0.453229,39.646099,0
-0.453229,39.646099,1
-0.453229,39.646099,0
-0.453233,39.645961,0
-0.453255,39.646136,2
-0.453255,39.646136,3
-0.453255,39.646136,3
-0.453255,39.646136,12
-0.453267,39.646039,18
-0.455694,39.640815,3
-0.459254,39.681097,9
-0.48592,40.321132,0
-0.620715,40.258942,2
-0.642687,29.03595,46
-0.724478,39.008318,5
-0.782752,41.418028,0
-0.791773,29.045993,16
-0.815556,120.176667,1
-0.844167,29.598611,11
-0.861453,134.062042,6
-0.896722,119.857299,0
-0.898583,119.850601,1
-0.898583,119.850601,5
-0.898583,119.850601,3
-0.898583,119.850601,0
-1.001944,41.661389,12
-1.011505,29.357049,0
-1.013779,36.905687,0
-1.131175,29.254875,160
-1.150226,36.955406,0
-1.165474,119.886186,7
-1.171804,41.307723,15
-1.171804,41.307723,0
-1.183333,40.783333,6
-1.185495,29.446786,0
-1.240591,36.88044,0
-1.266667,36.85,7
-1.266667,36.85,0
-1.266667,36.85,1
-1.266667,36.85,40
-1.267124,36.849697,3
-1.291831,36.825944,10
-1.292066,36.821946,18
-1.292066,36.821946,38
-1.292066,36.821946,7
-1.292066,36.821946,1
-1.292066,36.821946,8
-1.292066,36.821946,14
-1.292066,36.821946,2
-1.292066,36.821946,2
-1.292066,36.821946,273
-1.292085,36.821869,44
-1.292085,36.821869,3
-1.292085,36.821869,1
-1.292085,36.821869,40
-1.303999,29.590681,14
-1.3575,29.368889,0
-1.361147,36.659117,0
-1.384606,120.757265,1
-1.391922,120.766998,0
-1.393147,120.754749,0
-1.393147,120.754749,7
-1.393147,120.754749,3
-1.393147,120.754749,21
-1.393147,120.754749,5
-1.393147,120.754749,7
-1.393147,120.754749,1
-1.393147,120.754749,0
-1.393147,120.754749,9
-1.393147,120.754749,0
-1.393147,120.754749,0
-1.393147,120.754749,0
-1.393147,120.754749,0
-1.393147,120.754749,0
-1.393147,120.754749,0
-1.393147,120.754749,0
-1.402226,120.758315,6
-1.402226,120.758315,0
-1.40232,120.758233,0
-1.40232,120.758233,0
-1.40232,120.758233,3
-1.40232,120.758233,0
-1.40232,120.758233,0
-1.40232,120.758233,0
-1.40232,120.758233,0
-1.424192,120.66989,1.6666666666
-1.429674,28.074225,2
-1.456948,120.634468,1.6666666666
-1.467778,120.615833,1.6666666666
-1.479086,121.454854,0
-1.49,120.633333,1.6666666666
-1.49,120.633333,1
-1.500115,29.633463,6
-1.56969,127.453222,2
-1.571389,120.628611,1.6666666666
-1.583546,40.498903,12
-1.584919,120.654573,1.6666666666
-1.598303,39.450989,9
-1.64788,120.43861,2
-1.65778,29.220244,0
-1.658501,29.220455,1
-1.658501,29.220455,0
-1.658501,29.220455,0
-1.658554,29.220461,21
-1.659819,29.219415,5
-1.698647,29.371491,10
-1.763255,120.640908,82
-1.868727,138.743607,6
-1.893291,120.825798,0
-1.947981,30.05751,9
-1.950106,30.058769,18
-1.950106,30.058769,6
-1.950106,30.058769,35
-1.950106,30.058769,15
-1.950106,30.058769,9
-11.254017,-74.637381,10
-11.431789,-74.4848,1
-11.664677,27.479553,19
-11.664717,27.479547,3
-11.666022,27.479525,15
-11.717222,-72.945278,0
-12.08299,-72.92067,0
-12.28365,-74.873414,1
-12.286658,-74.874104,0
-12.414374,-73.900641,1
